2025-06-08 03:20:56,463 INFO    MainThread:868390 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-06-08 03:20:56,464 INFO    MainThread:868390 [wandb_setup.py:_flush():81] Configure stats pid to 868390
2025-06-08 03:20:56,464 INFO    MainThread:868390 [wandb_setup.py:_flush():81] Loading settings from /home/zheng709/.config/wandb/settings
2025-06-08 03:20:56,464 INFO    MainThread:868390 [wandb_setup.py:_flush():81] Loading settings from /home/zheng709/model-immunization-cond-num/wandb/settings
2025-06-08 03:20:56,464 INFO    MainThread:868390 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-06-08 03:20:56,464 INFO    MainThread:868390 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/zheng709/model-immunization-cond-num/wandb/run-20250608_032056-9pxp58nm/logs/debug.log
2025-06-08 03:20:56,464 INFO    MainThread:868390 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/zheng709/model-immunization-cond-num/wandb/run-20250608_032056-9pxp58nm/logs/debug-internal.log
2025-06-08 03:20:56,464 INFO    MainThread:868390 [wandb_init.py:init():831] calling init triggers
2025-06-08 03:20:56,464 INFO    MainThread:868390 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'training': {'max_epochs': 10, 'gpus': 2, 'precision': 32, 'log_every_n_steps': 1, 'logger': {'project_name': 'immu_cond_num'}, 'callbacks': {'checkpoint': {'monitor': 'train_loss', 'mode': 'min', 'save_top_k': 1}, 'early_stopping': {'monitor': 'train_loss', 'mode': 'min', 'patience': 3}}}, 'data': {'dataset_name': 'tabular', 'batch_size': 64, 'd1_path': 'data/house_price/D1.csv', 'd2_path': 'data/house_price/D2.csv'}, 'model': {'task': 'regression', 'feature_extractor_type': 'linear', 'feat_size': 79, 'hidden_size': 79, 'lambda_kappa': 1, 'lambda_r1': 100, 'lambda_r2': '1e7', 'lambda_reg': 1, 'lr': '5e-3'}, '_wandb': {}}
2025-06-08 03:20:56,464 INFO    MainThread:868390 [wandb_init.py:init():872] starting backend
2025-06-08 03:20:56,671 INFO    MainThread:868390 [wandb_init.py:init():875] sending inform_init request
2025-06-08 03:20:56,676 INFO    MainThread:868390 [wandb_init.py:init():883] backend started and connected
2025-06-08 03:20:56,684 INFO    MainThread:868390 [wandb_init.py:init():956] updated telemetry
2025-06-08 03:20:56,689 INFO    MainThread:868390 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-06-08 03:20:57,188 INFO    MainThread:868390 [wandb_init.py:init():1032] starting run threads in backend
2025-06-08 03:20:57,240 INFO    MainThread:868390 [wandb_run.py:_console_start():2453] atexit reg
2025-06-08 03:20:57,240 INFO    MainThread:868390 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-06-08 03:20:57,240 INFO    MainThread:868390 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-06-08 03:20:57,240 INFO    MainThread:868390 [wandb_run.py:_redirect():2393] Redirects installed.
2025-06-08 03:20:57,242 INFO    MainThread:868390 [wandb_init.py:init():1078] run started, returning control to user process
2025-06-08 03:21:03,547 INFO    MainThread:868390 [wandb_run.py:_config_callback():1358] config_cb None None {'task': 'regression', 'feature_extractor_type': 'linear', 'feat_size': 79, 'hidden_size': 79, 'lambda_kappa': 1, 'lambda_r1': 100, 'lambda_r2': '1e7', 'lambda_reg': 1, 'lr': '5e-3'}
2025-06-08 03:21:11,350 INFO    MsgRouterThr:868390 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
