2025-06-08 03:23:58,488 INFO    MainThread:875409 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-06-08 03:23:58,489 INFO    MainThread:875409 [wandb_setup.py:_flush():81] Configure stats pid to 875409
2025-06-08 03:23:58,489 INFO    MainThread:875409 [wandb_setup.py:_flush():81] Loading settings from /home/zheng709/.config/wandb/settings
2025-06-08 03:23:58,489 INFO    MainThread:875409 [wandb_setup.py:_flush():81] Loading settings from /home/zheng709/model-immunization-cond-num/wandb/settings
2025-06-08 03:23:58,489 INFO    MainThread:875409 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-06-08 03:23:58,489 INFO    MainThread:875409 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/zheng709/model-immunization-cond-num/wandb/run-20250608_032358-ikncuytd/logs/debug.log
2025-06-08 03:23:58,489 INFO    MainThread:875409 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/zheng709/model-immunization-cond-num/wandb/run-20250608_032358-ikncuytd/logs/debug-internal.log
2025-06-08 03:23:58,489 INFO    MainThread:875409 [wandb_init.py:init():831] calling init triggers
2025-06-08 03:23:58,489 INFO    MainThread:875409 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'training': {'max_epochs': 1, 'gpus': 1, 'precision': 32, 'log_every_n_steps': 1, 'logger': {'project_name': 'immu_cond_num'}, 'callbacks': {'checkpoint': {'monitor': 'train_loss', 'mode': 'min', 'save_top_k': 1}, 'early_stopping': {'monitor': 'train_loss', 'mode': 'min', 'patience': 3}}}, 'data': {'dataset_name': 'mnist', 'batch_size': 64, 'max_samples_per_class': None}, 'model': {'task': 'classification', 'feature_extractor_type': 'linear', 'feat_size': 784, 'hidden_size': 784, 'lambda_r1': 1, 'lambda_r2': '5e7', 'lambda_reg': '1e-7', 'lr': '1e-3'}, '_wandb': {}}
2025-06-08 03:23:58,489 INFO    MainThread:875409 [wandb_init.py:init():872] starting backend
2025-06-08 03:23:58,701 INFO    MainThread:875409 [wandb_init.py:init():875] sending inform_init request
2025-06-08 03:23:58,706 INFO    MainThread:875409 [wandb_init.py:init():883] backend started and connected
2025-06-08 03:23:58,709 INFO    MainThread:875409 [wandb_init.py:init():956] updated telemetry
2025-06-08 03:23:58,714 INFO    MainThread:875409 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-06-08 03:23:59,059 INFO    MainThread:875409 [wandb_init.py:init():1032] starting run threads in backend
2025-06-08 03:23:59,164 INFO    MainThread:875409 [wandb_run.py:_console_start():2453] atexit reg
2025-06-08 03:23:59,164 INFO    MainThread:875409 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-06-08 03:23:59,164 INFO    MainThread:875409 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-06-08 03:23:59,164 INFO    MainThread:875409 [wandb_run.py:_redirect():2393] Redirects installed.
2025-06-08 03:23:59,166 INFO    MainThread:875409 [wandb_init.py:init():1078] run started, returning control to user process
2025-06-08 03:24:04,890 INFO    MainThread:875409 [wandb_run.py:_config_callback():1358] config_cb None None {'task': 'classification', 'feature_extractor_type': 'linear', 'feat_size': 784, 'hidden_size': 784, 'lambda_r1': 1, 'lambda_r2': '5e7', 'lambda_reg': '1e-7', 'lr': '1e-3'}
2025-06-08 03:24:26,410 INFO    MsgRouterThr:875409 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
